"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","120102.6","","","","1"
"2006-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","121681.9","","","","1"
"2007-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","123555.9","","","","1"
"2007-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","124926.9","","","","1"
"2007-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","122696.3","","","","1"
"2007-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","120005.4","","","","1"
"2008-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","118389.5","","","","1"
"2008-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","118558.4","","","","1"
"2008-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","116968.2","","","","1"
"2008-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","111046.7","","","","1"
"2009-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","100757.3","","","","1"
"2009-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","95185.0","","","","1"
"2009-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","98538.3","","","","1"
"2009-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","101251.1","","","","1"
"2010-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","104021.1","","","","1"
"2010-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","107685.9","","","","1"
"2010-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","107177.2","","","","1"
"2010-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","110274.1","","","","1"
"2011-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","110238.3","","","","1"
"2011-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","107889.9","","","","1"
"2011-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115218.6","","","","1"
"2011-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","116751.4","","","","1"
"2012-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115911.2","","","","1"
"2012-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115789.3","","","","1"
"2012-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115127.2","","","","1"
"2012-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","114683.6","","","","1"
"2013-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","116965.0","","","","1"
"2013-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","119159.1","","","","1"
"2013-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","117513.0","","","","1"
"2013-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","119654.7","","","","1"
"2014-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","118580.8","","","","1"
"2014-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","126455.0","","","","1"
"2014-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","128748.9","","","","1"
"2014-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","129042.2","","","","1"
"2015-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","127247.8","","","","1"
"2015-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","129206.1","","","","1"
"2015-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132518.1","","","","1"
"2015-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","131065.9","","","","1"
"2016-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","133936.6","","","","1"
"2016-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","127214.4","","","","1"
"2016-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","131209.9","","","","1"
"2016-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132243.1","","","","1"
"2017-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132922.0","","","","1"
"2017-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","133951.5","","","","1"
"2017-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","129650.6","","","","1"
"2017-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132056.2","","","","1"
"2018-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132826.8","","","","1"
"2018-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","137228.7","","","","1"
"2018-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","137530.4","","","","1"
"2018-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","136993.0","","","","1"
"2019-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","135335.1","","","","1"
"2019-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","139673.1","","","","1"
"2019-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","138352.9","","","","1"
"2019-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","136445.3","","","","1"
"2020-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","135174.9","","","","1"
"2020-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","109765.5","","","","1"
"2020-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","130191.0","","","","1"
"2020-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","132010.0","","","","1"


