"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8881","","","","0"
"2005-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9976","","","","0"
"2005-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11714","","","","0"
"2005-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17890","","","","0"
"2005-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16743","","","","0"
"2005-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17726","","","","0"
"2005-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","18590","","","","0"
"2005-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14446","","","","0"
"2005-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16155","","","","0"
"2005-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14498","","","","0"
"2005-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16109","","","","0"
"2005-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","13982","","","","0"
"2006-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11237","","","","0"
"2006-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11341","","","","0"
"2006-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14040","","","","0"
"2006-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15962","","","","0"
"2006-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16346","","","","0"
"2006-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17743","","","","0"
"2006-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17407","","","","0"
"2006-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14166","","","","0"
